scheme_name,alpha_annual_pct,beta,r_squared,n_obs,fund_house,category,expense_ratio_pct
Nippon India ETF Nifty 50 BeES,15.136354648239239,-0.0014335213897801022,2.0253408972327574e-06,1149,Nippon India MF,Equity,0.89
DSP Top 100 Equity Fund - Regular - Growth,13.173190226099432,-0.004050271130006519,1.3227607880850361e-05,1149,DSP Mutual Fund,Equity,1.54
Kotak Bluechip Fund - Regular - Growth,13.042924450705446,0.036356399022199816,0.0012113711061211877,1149,Kotak Mahindra MF,Equity,1.59
HDFC Mid-Cap Opportunities Fund - Direct - Growth,11.98910097121797,0.009054412621739153,4.043746553634245e-05,1149,HDFC Mutual Fund,Equity,0.78
ABSL Small Cap Fund - Regular - Growth,10.897091901704538,-0.06528924788351527,0.0010641052735572626,1149,Aditya Birla Sun Life MF,Equity,1.53
Axis Bluechip Fund - Direct - Growth,8.232801295222094,0.02588321244009314,0.0005692038090244865,1149,Axis Mutual Fund,Equity,0.75
Kotak Emerging Equity Fund - Regular - Growth,7.80443887615508,0.018056874208118145,0.00016915548838314332,1149,Kotak Mahindra MF,Equity,1.56
Axis Bluechip Fund - Regular - Growth,6.899529821677549,0.009730745001153628,8.08263769381076e-05,1149,Axis Mutual Fund,Equity,1.64
ICICI Pru Liquid Fund - Regular - Growth,6.746210411099539,-0.0004440926329707225,0.00013430661440679811,1149,ICICI Prudential MF,Debt,0.74
Kotak Liquid Fund - Regular - Growth,6.4556774953759986,-0.00040074423947840073,0.00010125435692271747,1149,Kotak Mahindra MF,Debt,0.6
ABSL Liquid Fund - Regular - Growth,6.086145795787115,0.0002667096833823833,4.607623677105198e-05,1149,Aditya Birla Sun Life MF,Debt,0.79
SBI Magnum Gilt Fund - Regular Plan - Growth,5.620895216638369,-0.006413850728276463,0.00043426033217200323,1149,SBI Mutual Fund,Debt,0.77
Nippon India Gilt Securities Fund - Regular - Growth,5.074772999976104,0.0012566742731558612,1.651665231033315e-05,1149,Nippon India MF,Debt,0.55
SBI Small Cap Fund - Direct Plan - Growth,4.882421594553985,0.06200180438267165,0.0010259205326765954,1149,SBI Mutual Fund,Equity,0.72
Axis Small Cap Fund - Regular - Growth,4.801595363775955,-0.06695117463929204,0.001185159346448673,1149,Axis Mutual Fund,Equity,1.38
HDFC Short Term Debt Fund - Regular - Growth,4.281792031506088,0.0011582183155281454,1.4612842041845003e-05,1149,HDFC Mutual Fund,Debt,0.56
HDFC Top 100 Fund - Regular Plan - Growth,3.747580763443282,-0.05826843143880895,0.0026650326981333275,1149,HDFC Mutual Fund,Equity,1.55
UTI Mid Cap Fund - Regular - Growth,2.8969397866379443,-0.042125029021894314,0.0008964294600687576,1149,UTI Mutual Fund,Equity,1.51
