scheme_name,CAGR_3Y_%,Sharpe_Ratio,alpha_annual_pct,expense_ratio_pct,max_drawdown_pct,peak_date,trough_date,return_3yr_rank,sharpe_rank,alpha_rank,expense_rank,max_dd_rank,return_3yr_score,sharpe_score,alpha_score,expense_score,max_dd_score,fund_score_100
DSP Small Cap Fund - Regular - Growth,27.000426614519245,0.7144216579881023,30.05787817097677,1.52,-31.171900300634213,2024-05-03,2025-01-03,10.0,12.0,2.0,26.5,37.0,76.92307692307692,71.7948717948718,97.43589743589743,34.61538461538461,7.6923076923076925,66.47435897435898
DSP Midcap Fund - Regular - Growth,26.869990828902203,0.8328852279505956,26.598577542043046,1.61,-17.24810575345138,2022-06-06,2022-10-24,11.0,6.0,8.0,38.0,22.0,74.35897435897436,87.17948717948718,82.05128205128206,5.128205128205129,46.15384615384615,65.8974358974359
Nippon India Large Cap Fund - Regular - Growth,22.652359830098632,0.7588510310771436,21.829397904608644,1.51,-17.41407508665723,2024-01-02,2024-07-19,14.0,8.0,11.0,24.5,23.0,66.66666666666667,82.05128205128206,74.35897435897436,39.743589743589745,43.58974358974359,65.7051282051282
SBI Bluechip Fund - Direct Plan - Growth,16.267372294624916,0.6482414723266905,19.86859936686296,0.66,-11.803493502764296,2024-05-21,2024-09-02,23.0,14.0,15.0,4.0,11.0,43.58974358974359,66.66666666666667,64.1025641025641,92.3076923076923,74.35897435897436,63.846153846153854
HDFC Top 100 Fund - Direct Plan - Growth,18.434488610520173,0.5062729716095954,17.729754927531765,0.92,-15.200013055606398,2023-12-22,2025-01-01,19.0,18.0,16.0,14.0,18.0,53.84615384615385,56.41025641025641,61.53846153846154,66.66666666666667,56.41025641025641,58.205128205128204
Nippon India Large Cap Fund - Direct - Growth,21.08997654925684,0.3888288460001742,15.643835948169668,0.72,-18.62974313859551,2023-10-30,2024-02-29,15.0,21.0,22.0,5.5,26.0,64.1025641025641,48.717948717948715,46.15384615384615,88.46153846153847,35.8974358974359,57.5
Nippon India ETF Nifty 50 BeES,20.00820838047148,0.3931881969124055,15.136354648239239,0.89,-11.650624505409091,2022-01-03,2022-06-09,17.0,20.0,23.0,13.0,10.0,58.97435897435897,51.282051282051285,43.58974358974359,69.23076923076923,76.92307692307692,57.30769230769231
UTI Nifty 50 Index Fund - Regular - Growth,19.66726206830185,0.5197971450361778,17.048756803412697,1.57,-10.85986215250232,2022-02-03,2022-03-29,18.0,16.0,19.0,34.0,7.0,56.41025641025641,61.53846153846154,53.84615384615385,15.384615384615385,84.61538461538461,53.84615384615385
ICICI Pru Bluechip Fund - Regular - Growth,13.978381933703044,0.5165503915082101,17.703302365844074,1.42,-13.897862823061635,2023-09-19,2023-11-09,25.0,17.0,17.0,20.0,14.0,38.46153846153846,58.97435897435897,58.97435897435897,51.282051282051285,66.66666666666667,52.435897435897445
Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.748035533586012,0.6406730942266641,20.873010086942337,1.52,-15.27259422823477,2023-09-05,2024-01-24,24.0,15.0,14.0,26.5,19.0,41.02564102564103,64.1025641025641,66.66666666666667,34.61538461538461,53.84615384615385,52.24358974358975
ICICI Pru Value Discovery Fund - Regular - Growth,18.421996537444542,0.40461547832920475,16.25385327998104,1.41,-19.82565826298267,2023-03-31,2023-08-14,20.0,19.0,20.0,19.0,27.0,51.282051282051285,53.84615384615385,51.282051282051285,53.84615384615385,33.333333333333336,50.51282051282052
Axis Bluechip Fund - Direct - Growth,20.816771175535862,-0.04707325681075906,8.232801295222094,0.75,-21.751396370148225,2022-02-24,2023-05-22,16.0,28.0,28.0,8.0,31.0,61.53846153846154,30.76923076923077,30.76923076923077,82.05128205128206,23.076923076923077,46.92307692307692
UTI Flexi Cap Fund - Regular - Growth,25.556187904126524,0.38463733450338444,16.211256794033254,1.64,-21.539827112383225,2022-01-03,2022-07-04,13.0,22.0,21.0,39.5,30.0,69.23076923076923,46.15384615384615,48.717948717948715,1.2820512820512822,25.641025641025642,44.80769230769231
DSP Top 100 Equity Fund - Regular - Growth,18.04420648663614,0.23966336777285166,13.173190226099432,1.54,-14.844576917771747,2022-01-03,2022-02-04,21.0,25.0,24.0,30.5,16.0,48.717948717948715,38.46153846153846,41.02564102564103,24.358974358974358,61.53846153846154,42.24358974358974
HDFC Mid-Cap Opportunities Fund - Direct - Growth,11.245222866621418,0.1347978410610396,11.98910097121797,0.78,-21.11727956013212,2025-04-04,2025-09-12,26.0,26.0,26.0,10.0,29.0,35.8974358974359,35.8974358974359,35.8974358974359,76.92307692307692,28.205128205128204,41.28205128205128
Nippon India Small Cap Fund - Regular - Growth,8.007927728656083,0.292343251010993,17.50072167561127,1.53,-23.34488614483311,2025-04-09,2026-02-20,27.0,23.0,18.0,28.5,32.0,33.333333333333336,43.58974358974359,56.41025641025641,29.487179487179485,20.512820512820515,38.65384615384615
Kotak Bluechip Fund - Regular - Growth,17.26727508371786,0.25511741256223125,13.042924450705446,1.59,-17.57361416468729,2024-01-09,2025-02-14,22.0,24.0,25.0,35.0,24.0,46.15384615384615,41.02564102564103,38.46153846153846,12.820512820512821,41.02564102564103,37.82051282051282
ICICI Pru Liquid Fund - Regular - Growth,7.394286300360076,-3.650183878568478,6.746210411099539,0.74,-0.09773140045925555,2025-10-16,2025-10-20,29.0,38.0,31.0,7.0,1.0,28.205128205128204,5.128205128205129,23.076923076923077,84.61538461538461,100.0,37.05128205128205
Kotak Liquid Fund - Regular - Growth,6.695971624586994,-4.000348969233408,6.4556774953759986,0.6,-0.11629327956168556,2024-04-12,2024-04-30,30.0,39.0,32.0,3.0,2.0,25.641025641025642,2.5641025641025643,20.512820512820515,94.87179487179488,97.43589743589743,36.410256410256416
Nippon India Gilt Securities Fund - Regular - Growth,4.062205023777143,-0.8505789759662293,5.074772999976104,0.55,-8.316361763638703,2023-02-09,2024-02-09,33.0,36.0,35.0,1.0,6.0,17.94871794871795,10.256410256410257,12.820512820512821,100.0,87.17948717948718,34.230769230769226
SBI Magnum Gilt Fund - Regular Plan - Growth,5.840358798463097,-0.7430986305648408,5.620895216638369,0.77,-4.328728923970093,2024-09-16,2025-04-01,32.0,35.0,34.0,9.0,5.0,20.512820512820515,12.820512820512821,15.384615384615385,79.48717948717949,89.74358974358974,33.33333333333333
HDFC Short Term Debt Fund - Regular - Growth,3.9163899571040384,-1.0399413574427754,4.281792031506088,0.56,-4.308263824636349,2023-05-23,2023-07-28,34.0,37.0,38.0,2.0,4.0,15.384615384615385,7.6923076923076925,5.128205128205129,97.43589743589743,92.3076923076923,31.41025641025641
ABSL Liquid Fund - Regular - Growth,6.315784491375509,-4.650400707150913,6.086145795787115,0.79,-0.16224980244717857,2023-09-05,2023-09-12,31.0,40.0,33.0,11.0,3.0,23.076923076923077,0.0,17.94871794871795,74.35897435897436,94.87179487179488,31.153846153846153
Kotak Emerging Equity Fund - Regular - Growth,7.756003551327284,-0.05816681141492252,7.80443887615508,1.56,-24.003511326274886,2023-11-09,2024-10-17,28.0,29.0,29.0,33.0,33.0,30.76923076923077,28.205128205128204,28.205128205128204,17.94871794871795,17.94871794871795,26.410256410256412
SBI Small Cap Fund - Direct Plan - Growth,-1.337386614488112,-0.13617811182970374,4.882421594553985,0.72,-52.57422117012851,2023-01-17,2025-10-28,38.0,31.0,36.0,5.5,40.0,5.128205128205129,23.076923076923077,10.256410256410257,88.46153846153847,0.0,22.62820512820513
Axis Bluechip Fund - Regular - Growth,0.5258871209757432,-0.13100916883965183,6.899529821677549,1.64,-14.401617909337261,2023-10-12,2025-02-07,36.0,30.0,30.0,39.5,15.0,10.256410256410257,25.641025641025642,25.641025641025642,1.2820512820512822,64.1025641025641,21.21794871794872
ABSL Small Cap Fund - Regular - Growth,-4.152381044854481,0.05261813647585507,10.897091901704538,1.53,-35.44691649336603,2024-11-21,2026-05-11,39.0,27.0,27.0,28.5,38.0,2.5641025641025643,33.333333333333336,33.333333333333336,29.487179487179485,5.128205128205129,20.705128205128208
Axis Small Cap Fund - Regular - Growth,-11.705806723995272,-0.1516581586164415,4.801595363775955,1.38,-51.677753708526566,2025-05-22,2026-05-11,40.0,32.0,37.0,17.0,39.0,0.0,20.512820512820515,7.6923076923076925,58.97435897435897,2.5641025641025643,15.769230769230768
UTI Mid Cap Fund - Regular - Growth,-0.7674063178547241,-0.29488891285108904,2.8969397866379443,1.51,-28.00112356639287,2025-01-07,2026-04-27,37.0,33.0,40.0,24.5,35.0,7.6923076923076925,17.94871794871795,0.0,39.743589743589745,12.820512820512821,14.038461538461538
HDFC Top 100 Fund - Regular Plan - Growth,1.292649342495622,-0.32101926049954294,3.747580763443282,1.55,-24.734440880673304,2022-03-30,2022-09-15,35.0,34.0,39.0,32.0,34.0,12.820512820512821,15.384615384615385,2.5641025641025643,20.512820512820515,15.384615384615385,12.820512820512821
